#nrNodes nrCollisions nrTransmissions OverallEnergy
1000 245 3131 545.095778304
1000 249 3209 558.675296256
1000 249 3172 552.2337300480001
1000 224 3244 564.7686696960001
1000 283 3254 566.509633536
1000 216 3105 540.5692723200001
1000 224 3171 552.059633664
1000 219 3228 561.983127552
1000 276 3360 584.9638502400002
2000 973 6538 1138.2421585920004
2000 1024 6652 1158.089146368
2000 907 6362 1107.601195008
2000 861 6375 1109.8644480000003
2000 883 6416 1117.0023997440003
2000 854 6327 1101.507821568
2000 887 6291 1095.2403517440002
2000 917 6378 1110.3867371520003
2000 901 6298 1096.4590264320002
2000 997 6474 1127.099990016
3000 1968 9578 1667.4951659520002
3000 2039 9831 1711.541551104
3000 1968 9669 1683.3379368960002
3000 2178 9988 1738.8746833920002
3000 2098 10010 1742.70480384
3000 1970 9818 1709.2782981120001
3000 2003 9561 1664.5355274240003
3000 2009 9669 1683.3379368960002
3000 1901 9546 1661.9240816640004
3000 1936 9592 1669.9325153280004
4000 3354 12833 2234.1788958720003
4000 3384 12901 2246.017449984
4000 3294 12799 2228.2596188160005
4000 3365 12776 2224.2554019840004
4000 3565 13107 2281.8813050880003
4000 3704 13265 2309.3885337600004
4000 3205 12665 2204.9307033600003
4000 3532 12931 2251.2403415040003
4000 3387 12839 2235.2234741760003
4000 3482 13129 2285.711425536
5000 5012 15850 2759.4276864000003
5000 5328 16272 2832.8963604480005
5000 5206 16058 2795.639734272
5000 5043 16011 2787.4572042240006
5000 5373 16303 2838.293348352
5000 5260 16002 2785.890336768
5000 5285 16454 2864.5819023360004
5000 5423 16569 2884.602986496
5000 5392 16612 2892.0891310080005
5000 5060 15928 2773.0072043520004
500 89 1622 282.38433484800004
500 64 1614 280.991563776
500 0 1717 298.923491328
500 50 1686 293.526503424
5000 0 16613 2892.2632273920003
5000 6679 16632 2895.571058688
500 35 1701 296.13794918400004
500 52 1509 262.71144345600004
500 54 1612 280.64337100800003
500 97 1654 287.95541913600005
500 66 1691 294.39698534400003
500 78 1497 260.62228684800004
500 89 1659 288.8259010560001
500 79 1653 287.78132275200005
500 80 1717 298.923491328
500 127 1725 300.3162624
500 71 1519 264.45240729600005
500 76 1558 271.242166272
500 53 1564 272.28674457600005
500 71 1583 275.59457587200006
500 74 1594 277.509636096
500 78 1635 284.64758784
500 113 1641 285.69216614400005
500 73 1661 289.17409382400007
500 103 1675 291.61144320000005
500 87 1691 294.39698534400003
500 110 1740 302.92770816
500 93 1712 298.05300940800004
500 83 1781 310.06565990400003
500 118 1863 324.341563392
500 79 1569 273.1572264960001
500 83 1707 297.18252748800006
500 75 1698 295.615660032
500 95 1722 299.79397324800004
500 102 1668 290.39276851200003
500 102 1660 288.9999974400001
500 81 1660 288.9999974400001
500 70 1776 309.19517798400005
500 106 1750 304.6686720000001
500 83 1645 286.38855168000003
500 66 1617 281.513852928
500 85 1742 303.27590092800006
500 52 1652 287.60722636800006
500 88 1733 301.70903347200004
500 77 1678 292.13373235200004
500 81 1590 276.8132505600001
500 106 1727 300.664455168
500 78 1640 285.51806976000006
500 75 1743 303.44999731200005
500 90 1635 284.64758784
500 86 1707 297.18252748800006
500 96 1743 303.44999731200005
500 73 1851 322.252406784
500 65 1537 267.586142208
500 89 1665 289.87047936
500 92 1733 301.70903347200004
500 89 1679 292.30782873600003
500 73 1668 290.39276851200003
500 96 1631 283.951202304
500 78 1684 293.178310656
500 62 1638 285.16987699200007
500 83 1718 299.097587712
500 84 1629 283.603009536
500 73 1633 284.29939507200004
500 70 1601 278.72831078400003
500 85 1720 299.44578048
500 88 1750 304.6686720000001
500 99 1619 281.86204569600005
500 94 1661 289.17409382400007
500 90 1625 282.9066240000001
500 83 1717 298.923491328
500 91 1626 283.0807203840001
500 78 1759 306.235539456
500 65 1609 280.121081856
500 97 1616 281.339756544
500 62 1586 276.11686502400005
500 75 1598 278.20602163200004
500 79 1629 283.603009536
500 80 1714 298.4012021760001
500 82 1694 294.91927449600007
500 66 1597 278.03192524800005
500 63 1657 288.47770828800003
500 84 1778 309.54337075200004
